,cases,deaths,recoveries,active
1/22/20,0,0,0,0
1/23/20,100,1,2,97
1/24/20,287,8,7,272
1/25/20,493,16,3,474
1/26/20,683,14,14,655
1/27/20,809,26,9,774
1/28/20,2651,49,43,2559
1/29/20,589,2,19,568
1/30/20,2068,39,18,2011
1/31/20,1690,42,80,1568
2/1/20,2111,46,62,2003
2/2/20,4749,104,189,4456
2/3/20,3100,64,151,2885
2/4/20,4012,66,230,3716
2/5/20,3745,72,273,3400
2/6/20,3162,70,363,2729
2/7/20,3594,85,523,2986
2/8/20,2731,87,601,2043
2/9/20,3031,100,630,2301
2/10/20,2609,107,702,1800
2/11/20,2043,100,735,1208
2/12/20,418,5,467,-54
2/13/20,15152,253,1143,13756
2/14/20,6528,152,1767,4609
2/15/20,2143,143,1336,664
2/16/20,2183,104,1470,609
2/17/20,2035,98,1720,217
2/18/20,1882,140,1765,-23
2/19/20,500,115,1771,-1386
2/20/20,561,125,2058,-1622
2/21/20,630,4,713,-87
2/22/20,1762,208,3998,-2444
2/23/20,382,11,505,-134
2/24/20,568,160,1832,-1424
2/25/20,854,80,2678,-1904
2/26/20,972,61,2481,-1570
2/27/20,1344,43,2894,-1593
2/28/20,1424,59,3432,-2067
2/29/20,1871,70,3071,-1270
3/1/20,2379,54,2936,-611
3/2/20,1980,90,2884,-994
3/3/20,2612,74,2622,-84
3/4/20,2344,96,2943,-695
3/5/20,2740,95,2626,19
3/6/20,3984,114,2068,1802
3/7/20,4137,104,2494,1539
3/8/20,3798,242,2337,1219
3/9/20,4295,194,1800,2301
3/10/20,4759,275,1907,2577
3/11/20,7476,352,2597,4527
3/12/20,6756,321,1329,5106
3/13/20,13194,503,1927,10764
3/14/20,10888,426,2367,8095
3/15/20,11233,671,3409,7153
3/16/20,14567,711,2055,11801
3/17/20,15174,851,2744,11579
3/18/20,17561,956,2487,14118
3/19/20,27087,1142,1641,24304
3/20/20,29530,1574,2445,25511
3/21/20,32427,1808,4247,26372
